Name,Symbol,Sector,Industry,Yrs,Seq,DR,SP,Price,Yield,Dividend,Year,Annualized,Sch,Payout,Ex-Div,Pay,Inc.,1-yr,3-yr,5-yr,10-yr,A/D*,DEG,Notes,Payout,P/E,Month,EPS,PEG,P/Sales,P/Book,ROE,Growth,Growth,Growth,Growth,($Mil),Own.,Equity,Factor,Rule,Graham,2019,2020,2021,2022,2023,$,%,Beta,Low,High,MMA,MMA,OTC,Began,Survived,ROA
Abbott Laboratories,ABT,Health Care,Health Care Equipment & Supplies,6,774,N,N,72.98,1.75,0.3200,4,1.28,B15,0.2800,1-14-19,2-15-19,14.29,5.7 ,5.3 ,14.9 ,5.2 ,2.855 ,0.314,,91.43,52.13,12,1.40,4.73,4.17,4.18,3.00,44.60,12.18,47.40,11.06,"127,650",0.2,0.77,(35.5),16.6 ,211.2 ,1.23,1.36,1.49,1.64,1.80,7.52,10.3,1.17 ,31.3,-2.6,4.0,10.2,,2014,0,1.3
AbbVie Inc.,ABBV,Health Care,Biotechnology,7,660,N,N,80.29,5.33,1.0700,4,4.28,B15,0.9600,1-14-19,2-15-19,11.46,40.2 ,21.1 ,17.5 ,n/a,n/a,14.619,,84.25,15.81,12,5.08,1.03,4.00,n/a,n/a,-2.40,9.52,1.20,15.40,"128,780",0.1,n/a,7.1 ,22.9 ,n/a,3.63,3.97,4.37,4.81,5.29,22.06,27.5,1.32 ,6.0,-34.2,-8.1,-13.5,,2013,0,9.6
Acadia Realty Trust,AKR,Real Estate,Equity Real Estate Investment Trusts (REITs),6,761,Y,Y,28.73,3.90,0.2800,4,1.12,A12,0.2700,12-28-18,1-15-19,3.70,3.8 ,4.0 ,5.9 ,2.5 ,2.327 ,0.769,,224.00,57.46,12,0.50,19.08,9.05,1.58,3.00,-20.50,-2.66,7.70,3.00,"2,340",0.1,1.05,(47.6),9.8 ,100.9 ,1.09,1.10,1.13,1.17,1.20,5.70,19.8,0.67 ,34.6,-1.9,7.6,7.1,,2014,0,1.1
Activision Blizzard Inc.,ATVI,Communication Services,Entertainment,9,366,-,-,47.24,0.72,0.3400,1,0.34,May,0.3000,3-29-18,5-9-18,13.33,13.3 ,13.9 ,12.3 ,n/a,n/a,3.630,,21.52,29.90,12,1.58,3.28,4.98,3.38,5.70,-7.00,0.38,3.40,9.14,"35,650",0.7,0.25,(16.8),13.1 ,111.9 ,0.34,0.34,0.38,0.41,0.45,1.92,4.1,0.97 ,8.1,-44.2,-1.7,-29.4,,2010,0,3.2
Advanced Drainage Systems Inc.,WMS,Industrials,Building Products,5,815,-,-,25.5,1.25,0.08,4,0.32,B30,0.07,6-4-18,6-15-18,14.29,14.8 ,17.7 ,n/a,n/a,n/a,n/a,,18.39,14.66,3,1.74,0.56,1.07,7.75,54.60,167.50,10.06,37.600 ,26.300 ,1460,1.5,1.94,n/a,n/a,124.7 ,0.34,0.38,0.41,0.45,0.50,2.08,8.2,1.02,17.51,-23.88,0.78,-8.47,,2014,0,7.4
AES Corp.,AES,Utilities,Independent Power and Renewable Electricity Producers,8,565,-,-,16.39,3.33,0.1365,4,0.55,B15,0.1300,1-31-19,2-15-19,5.00,8.3 ,9.1 ,26.6 ,n/a,n/a,2.417,,151.67,45.53,12,0.36,4.46,1.01,3.28,n/a,12.00,8.37,11.00,10.30,"10,870",0.2,5.87,(15.6),29.9 ,157.6 ,0.57,0.62,0.68,0.75,0.83,3.45,21.0,0.99 ,66.1,0.2,7.6,18.1,,2012,0,n/a
AGCO Corp.,AGCO,Industrials,Machinery,6,693,-,-,64.20,0.93,0.1500,4,0.60,C15,0.1400,2-14-18,3-15-18,7.14,7.1 ,7.7 ,8.4 ,n/a,n/a,n/a,,17.60,18.83,12,3.41,0.95,0.53,1.74,7.80,45.30,22.47,-11.70,19.78,"4,910",1.4,0.65,(9.4),9.4 ,20.7 ,0.66,0.73,0.80,0.88,0.97,4.03,6.3,0.79 ,29.7,-13.8,10.0,6.8,,2013,0,2.9
Agilent Technologies Inc.,A,Health Care,Life Sciences Tools & Services,8,561,-,-,76.05,0.86,0.1640,4,0.66,A24,0.1490,12-28-18,1-23-19,10.07,12.9 ,14.2 ,12.6 ,n/a,n/a,0.387,,24.48,28.38,10,2.68,2.70,4.92,5.30,6.90,27.30,10.95,32.60,10.51,"24,180",0.3,0.39,(14.9),13.5 ,158.5 ,0.66,0.72,0.79,0.87,0.96,4.00,5.3,1.32 ,25.9,0.6,10.0,14.1,,2012,0,3.7
Agree Realty Corp.,ADC,Real Estate,Equity Real Estate Investment Trusts (REITs),7,650,N,N,66.03,3.36,0.5550,4,2.22,A03,0.5400,12-20-18,1-4-19,2.78,5.0 ,5.0 ,5.4 ,0.6 ,9.236 ,0.478,,113.27,33.69,12,1.96,n/a,16.10,1.97,6.50,6.80,-11.30,11.30,-0.90,"2,240",3.0,0.58,(24.9),8.8 ,71.7 ,2.26,2.29,2.31,2.33,2.36,11.55,17.5,0.18 ,51.0,1.3,9.9,19.8,,2013,0,3.8
Air Lease Corp.,AL,Industrials,Trading Companies & Distributors,7,652,-,-,37.94,1.37,0.1300,4,0.52,A04,0.1000,12-12-18,1-9-19,30.00,33.3 ,35.7 ,39.8 ,n/a,n/a,1.699,,11.76,8.58,12,4.42,0.36,2.53,0.88,19.70,6.30,25.04,23.40,24.15,"4,120",1.7,2.48,32.6 ,41.1 ,(42.1),0.43,0.47,0.51,0.57,0.62,2.60,6.8,2.08 ,34.9,-23.4,7.7,-8.3,,2013,0,5.1
