Name,Symbol,Sector,Industry,Yrs,Seq,DR,SP,Price,Yield,Dividend,Year,Annualized,Sch,Payout,Ex-Div,Pay,Inc.,1-yr,3-yr,5-yr,10-yr,A/D*,DEG,Notes,Payout,P/E,Month,EPS,PEG,P/Sales,P/Book,ROE,Growth,Growth,Growth,Growth,($Mil),Own.,Equity,Factor,Rule,Graham,2019,2020,2021,2022,2023,$,%,Beta,Low,High,MMA,MMA,OTC,Began,Survived,ROA
Aaron's Inc.,AAN,Consumer Discretionary,Specialty Retail,16,222,-,-,50.06,0.28,0.0350,4,0.14,A03,0.0300,12-19-18,1-7-19,16.67,9.1 ,8.5 ,12.0 ,10.9 ,1.104 ,n/a,,5.62,20.10,12,2.49,1.68,0.93,1.95,17.80,13.10,16.04,-0.90,12.00,"3,450",1.1,0.17,(7.8),12.3 ,32.0 ,0.13,0.15,0.16,0.18,0.19,0.81,1.6,0.45 ,38.3,-10.6,9.9,8.2,,2004,1,11.6
Accenture plc,ACN,Information Technology,IT Services,14,275,-,-,153.55,1.90,1.4600,2,2.92,MyNv,1.3300,10-17-18,11-15-18,9.77,4.9 ,9.6 ,9.9 ,18.8 ,0.528 ,1.651,"Ireland,US$",43.07,22.65,8,6.78,2.61,2.30,7.74,39.60,21.50,8.99,6.00,8.69,"96,780",0.2,0.00,(10.8),11.8 ,179.1 ,3.07,3.34,3.64,3.95,4.29,18.30,11.9,1.10 ,15.8,-12.6,1.3,-3.6,,2006,1,17.3
Acme United Corp.,ACU,Industrials,Commercial Services & Supplies,16,223,-,-,16.71,2.87,0.1200,4,0.48,B03,0.1100,1-7-19,1-29-19,9.09,4.8 ,6.9 ,8.0 ,10.0 ,0.798 ,1.694,,37.50,13.05,12,1.28,1.30,0.40,1.07,6.50,-13.00,12.31,4.70,10.00,54,11.6,0.00,(2.2),10.8 ,(21.2),0.44,0.49,0.54,0.59,0.65,2.71,16.2,1.14 ,23.8,-33.1,8.7,-14.5,,2005,1,2.9
Albemarle Corp.,ALB,Materials,Chemicals,24,135,N,N,80.73,1.66,0.3350,4,1.34,A02,0.3200,3-14-18,4-2-18,4.69,4.7 ,5.0 ,6.7 ,10.7 ,0.623 ,1.548,,19.45,11.72,12,6.89,0.94,2.62,2.46,9.40,8.30,13.55,4.30,12.49,"8,660",0.3,0.48,(3.4),8.3 ,13.2 ,1.43,1.58,1.74,1.91,2.10,8.76,10.9,1.61 ,12.3,-32.1,-3.5,-14.1,,1995,2,4.6
Alliant Energy Corp.,LNT,Utilities,Electric Utilities,16,226,N,N,44.47,3.19,0.3550,4,1.42,B15,0.3350,1-30-19,2-15-19,5.97,6.3 ,6.8 ,7.3 ,6.7 ,1.095 ,1.361,,65.74,20.59,12,2.16,2.84,3.04,2.29,12.00,15.80,4.16,5.40,7.25,"10,700",0.2,1.29,(10.0),10.5 ,44.8 ,1.47,1.54,1.65,1.77,1.89,8.32,18.7,0.32 ,20.7,-4.5,1.9,4.0,,2004,1,3.6
American Equity Investment Life Holding Co.,AEL,Financials,Insurance,15,250,-,-,31.32,0.89,0.2800,1,0.28,Dec,0.2600,11-27-18,12-12-18,7.69,7.7 ,8.4 ,9.2 ,14.9 ,0.621 ,0.434,,5.36,6.00,12,5.22,0.60,0.86,1.14,17.10,139.70,-17.34,21.30,10.00,"2,790",0.3,0.30,4.1 ,10.1 ,(44.9),0.31,0.31,0.34,0.38,0.41,1.75,5.6,2.30 ,23.9,-18.8,3.2,-6.1,,2005,1,0.7
American Financial Group Inc.,AFG,Financials,Insurance,13,291,-,-,95.39,1.68,0.4000,4,1.60,A25,0.3500,10-12-18,10-25-18,14.29,12.6 ,12.1 ,12.5 ,11.2 ,1.112 ,3.046,,17.92,10.68,12,8.93,0.85,1.17,1.65,14.00,-15.30,0.41,4.10,12.50,"8,540",0.5,0.25,3.5 ,14.2 ,(11.5),1.46,1.47,1.62,1.78,1.96,8.29,8.7,0.90 ,13.3,-19.4,0.5,-8.7,,2007,1,1.2
American Water Works,AWK,Utilities,Water Utilities,11,310,Y,Y,95.67,1.90,0.4550,4,1.82,C01,0.4150,5-10-18,6-1-18,9.64,9.9 ,10.2 ,10.3 ,16.1 ,0.640 ,1.305,,56.52,29.71,12,3.22,3.63,5.14,2.95,8.10,17.70,8.25,7.90,8.20,"17,530",0.2,1.43,(17.5),12.2 ,97.4 ,1.96,2.12,2.29,2.48,2.68,11.54,12.1,0.23 ,25.8,-2.6,3.3,8.7,,2008,1,2.2
AmeriGas Partners LP,APU,Utilities,Gas Utilities,14,256,-,-,30.84,12.32,0.9500,4,3.80,B18,0.9400,5-8-17,5-18-17,1.06,0.3 ,1.4 ,2.7 ,4.2 ,0.659 ,n/a,2018 = Year 14,246.75,20.03,12,1.54,0.83,1.03,5.48,20.90,22.50,1.67,-6.40,24.10,"2,910",25.7,5.35,(5.0),15.1 ,120.8 ,4.18,4.25,4.67,5.14,5.66,23.90,77.5,1.00 ,35.6,-35.4,3.0,-18.9,,2006,1,3.5
Ameriprise Financial Inc.,AMP,Financials,Capital Markets,14,263,Y,Y,126.60,2.84,0.9000,4,3.60,B18,0.8300,5-4-18,5-18-18,8.43,9.0 ,10.9 ,11.9 ,18.3 ,0.653 ,0.611,,26.73,9.40,12,13.47,0.50,1.42,3.25,30.10,44.30,5.60,19.50,18.84,"18,280",0.3,2.71,5.4 ,14.8 ,16.5 ,3.88,4.10,4.51,4.96,5.46,22.91,18.1,1.82 ,32.3,-27.2,9.2,-5.8,,2005,1,1.2
