Name,Symbol,2018,2017,2016,2015,2014,2013,#,2012,2011,#,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,RegDivs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,average),Deviation
1st Source Corp.,SRCE,0.960,0.760,0.720,0.671,0.645,0.618,,0.600,0.582,,0.555,0.536,0.527,0.509,0.486,0.405,0.347,0.306,0.298,0.294,0.277,0.240,10.335,26.3,5.6,7.3,3.9,4.4,3.0,3.1,4.9,3.4,1.7,3.6,4.8,20.0,16.7,13.5,2.8,1.2,6.3,15.3,7.8,7.1
3M Company,MMM,5.440,4.700,4.440,4.100,3.420,2.540,,2.360,2.200,,2.100,2.040,2.000,1.920,1.840,1.680,1.440,1.320,1.240,1.200,1.160,1.120,48.260,15.7,5.9,8.3,19.9,34.6,7.6,7.3,4.8,2.9,2.0,4.2,4.3,9.5,16.7,9.1,6.5,3.3,3.4,3.6,8.9,8.0
A.O. Smith Corp.,AOS,0.760,0.560,0.480,0.380,0.300,0.230,,0.180,0.150,,0.135,0.128,0.123,0.117,0.110,0.107,0.103,0.097,0.090,0.087,0.083,0.080,4.300,35.7,16.7,26.3,26.7,30.4,27.8,20.0,11.1,5.2,4.1,5.7,6.1,3.1,3.2,6.9,7.4,3.8,4.0,4.2,13.1,11.1
Aaron's Inc.,AAN,0.120,0.110,0.100,0.094,0.086,0.068,,0.060,0.052,,0.048,0.045,0.043,0.040,0.037,0.035,0.026,0.012,0.012,0.012,0.012,0.012,1.024,9.1,10.0,6.4,9.3,26.5,13.3,15.4,8.3,5.9,6.2,6.7,7.1,5.7,33.6,123.0,0.0,0.0,0.0,0.0,15.1,27.5
Abbott Laboratories,ABT,1.120,1.060,1.040,0.960,0.880,0.560,,0.964,0.902,,0.825,0.748,0.674,0.609,0.557,0.521,0.491,0.440,0.411,0.368,0.332,0.296,13.759,5.7,1.9,8.3,9.1,57.1,-41.9,6.9,9.3,10.3,11.0,10.6,9.5,6.9,6.0,11.6,7.1,11.6,10.8,12.1,8.6,16.7
AbbVie Inc.,ABBV,3.590,2.560,2.280,2.020,1.660,1.600,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.710,40.2,12.3,12.9,21.7,3.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.2,13.9
ABM Industries Inc.,ABM,0.700,0.680,0.660,0.640,0.620,0.600,#,0.580,0.560,,0.540,0.520,0.500,0.480,0.440,0.420,0.400,0.380,0.360,0.330,0.310,0.280,10.000,2.9,3.0,3.1,3.2,3.3,3.4,3.6,3.7,3.8,4.0,4.2,9.1,4.8,5.0,5.3,5.6,9.1,6.5,10.7,5.0,2.3
Acadia Realty Trust,AKR,1.080,1.040,1.000,0.960,0.920,0.810,,0.720,0.720,,0.720,0.780,0.840,0.800,0.740,0.690,0.640,0.565,0.510,0.480,0.480,0.360,14.855,3.8,4.0,4.2,4.3,13.6,12.5,0.0,0.0,-7.7,-7.1,5.0,8.1,7.2,7.8,13.3,10.8,6.3,0.0,33.3,6.3,8.9
Accenture plc,ACN,2.790,2.660,2.310,2.120,1.950,1.740,,1.485,1.125,,0.825,0.750,0.500,0.420,0.350,0.300,0.000,0.000,0.000,0.000,0.000,0.000,19.325,4.9,15.2,9.0,8.7,12.1,17.2,32.0,36.4,10.0,50.0,19.0,20.0,16.7,n/a,n/a,n/a,n/a,n/a,n/a,19.3,12.9
Acme United Corp.,ACU,0.440,0.420,0.400,0.360,0.330,0.300,#,0.280,0.250,,0.210,0.200,0.170,0.150,0.120,0.100,0.040,0.000,0.000,0.000,0.000,0.000,3.770,4.8,5.0,11.1,9.1,10.0,7.1,12.0,19.0,5.0,17.6,13.3,25.0,20.0,150.0,n/a,n/a,n/a,n/a,n/a,22.1,37.3
Activision Blizzard Inc.,ATVI,0.340,0.300,0.260,0.230,0.200,0.190,,0.180,0.165,,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.015,13.3,15.4,13.0,15.0,5.3,5.6,9.1,10.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.8,4.0
Advanced Drainage Systems Inc.,WMS,0.310,0.27,0.22,0.19,0.04,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.030,14.8,22.7,15.8,375.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,107.1,178.6
AES Corp.,AES,0.520,0.480,0.440,0.400,0.200,0.160,,0.040,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.240,8.3,9.1,10.0,100.0,25.0,300.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75.4,115.6
AFLAC Inc.,AFL,1.040,0.870,0.830,0.790,0.740,0.710,,0.670,0.615,,0.570,0.560,0.480,0.400,0.275,0.220,0.190,0.150,0.115,0.096,0.083,0.073,9.476,19.5,4.8,5.1,6.8,4.2,6.0,8.9,7.9,1.8,16.7,20.0,45.5,25.0,15.8,26.7,30.4,19.5,16.7,13.8,15.5,11.1
AGCO Corp.,AGCO,0.600,0.560,0.520,0.480,0.440,0.400,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,7.1,7.7,8.3,9.1,10.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.5,1.1
Agilent Technologies Inc.,A,0.596,0.528,0.460,0.400,0.378,0.329,,0.215,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.905,12.9,14.8,15.0,5.9,14.8,53.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.4,17.0
Agree Realty Corp.,ADC,2.120,2.020,1.920,1.830,1.700,1.630,,1.600,1.710,,2.040,2.010,2.000,1.960,1.960,1.960,1.945,1.910,1.840,1.840,1.840,1.840,37.675,5.0,5.2,4.9,7.6,4.3,1.9,-6.4,-16.2,1.5,0.5,2.0,0.0,0.0,0.8,1.8,3.8,0.0,0.0,0.0,0.9,5.1
Air Lease Corp.,AL,0.400,0.300,0.200,0.160,0.120,0.075,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.255,33.3,50.0,25.0,33.3,60.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.3,14.3
Air Products & Chem.,APD,4.250,3.710,3.390,3.200,3.020,2.770,,2.500,2.230,,1.920,1.790,1.700,1.480,1.340,1.250,1.040,0.880,0.820,0.780,0.740,0.700,39.510,14.6,9.4,5.9,6.0,9.0,10.8,12.1,16.1,7.3,5.3,14.9,10.4,7.2,20.2,18.2,7.3,5.1,5.4,5.7,10.1,4.7
Aircastle Limited,AYR,1.140,1.060,0.980,0.900,0.820,0.695,,0.615,0.500,,0.400,0.400,1.450,2.188,0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.498,7.5,8.2,8.9,9.8,18.0,13.0,23.0,25.0,0.0,-72.4,-33.7,525.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44.4,153.8
Alamo Group Inc,ALG,0.440,0.400,0.360,0.320,0.280,0.280,,0.240,0.240,,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.340,5.540,10.0,11.1,12.5,14.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.4,1.9,9.6
Alaska Air Group Inc.,ALK,1.280,1.200,1.100,0.800,0.500,0.200,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.080,6.7,9.1,37.5,60.0,150.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52.7,58.7
Albemarle Corp.,ALB,1.325,1.265,1.205,1.145,1.065,0.960,,0.775,0.635,,0.560,0.500,0.480,0.420,0.345,0.310,0.293,0.283,0.270,0.260,0.230,0.200,12.525,4.7,5.0,5.2,7.5,10.9,23.9,22.0,13.4,12.0,4.2,14.3,21.7,11.3,6.0,3.5,4.6,3.8,13.0,15.0,10.6,6.6
Alexander's Inc.,ALX,18.000,17.000,16.000,14.000,13.000,11.000,,15.000,12.000,,7.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,123.500,5.9,6.3,14.3,7.7,18.2,-26.7,25.0,60.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.8,24.1
Alexandria Real Estate Equities Inc.,ARE,3.660,3.440,3.200,3.020,2.820,2.490,,2.020,1.820,,1.400,2.300,3.160,3.000,2.820,2.680,2.440,2.120,1.960,1.810,1.720,1.660,49.540,6.4,7.5,6.0,7.1,13.3,23.3,11.0,30.0,-39.1,-27.2,5.3,6.4,5.2,9.8,15.1,8.2,8.3,5.2,3.6,5.5,15.3
Allegion plc,ALLE,0.840,0.640,0.480,0.400,0.320,0.000,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.680,31.3,33.3,20.0,25.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.4,6.1
Allete Inc.,ALE,2.240,2.140,2.080,2.020,1.960,1.900,,1.840,1.780,,1.760,1.760,1.720,1.640,1.450,1.245,1.149,1.132,1.100,1.072,1.072,1.059,32.119,4.7,2.9,3.0,3.1,3.2,3.3,3.4,1.1,0.0,2.3,4.9,13.1,16.5,8.4,1.5,2.9,2.6,0.0,1.2,4.1,4.2
Alliant Energy Corp.,LNT,1.340,1.260,1.175,1.100,1.020,0.940,,0.900,0.850,,0.790,0.750,0.700,0.635,0.575,0.525,0.506,0.500,1.000,1.000,1.000,1.000,17.566,6.3,7.2,6.8,7.8,8.5,4.4,5.9,7.6,5.3,7.1,10.2,10.4,9.5,3.7,1.3,-50.0,0.0,0.0,0.0,2.8,13.2
Allstate Corp.,ALL,1.750,1.440,1.290,1.180,1.120,1.000,,0.880,0.840,,0.800,0.800,1.640,1.520,1.400,1.280,1.120,0.920,0.840,0.760,0.680,0.600,21.860,21.5,11.6,9.3,5.4,12.0,13.6,4.8,5.0,0.0,-51.2,7.9,8.6,9.4,14.3,21.7,9.5,10.5,11.8,13.3,7.3,15.1
Altra Industrial Motion Corp.,AIMC,0.680,0.640,0.600,0.540,0.440,0.340,#,0.100,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.340,6.3,6.7,11.1,22.7,29.4,240.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52.7,92.2
